tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,A,r,y,GRP,18521930_18522990,A
*FAN,A,d,y,GRP,18623710_18624710,A
*CHN,A+B+C+Book,d,y,GRP,18520540_18520860,A+B+C+Book
*FAN,ants,r,y,GRP,18625720_18628010,ants
*FAN,ants,r,y,GRP,18625720_18628010,ants
*FAN,ants,r,y,GRP,18629260_18630460,ants
*MAN,apple,d,n,MOT,5003510_5004730,apples
*FAN,apples,s,n,GTY,17413780_17415410,apples
*FAN,apples,s,n,GTY,17419780_17421330,apples
*FAN,apples,s,n,GTY,17425580_17427320,apples
*CHN,apples,s,n,GTY,17437470_17439060,apples
*FAN,apples,s,n,GTY,17443040_17444970,apples
*CHN,apples,s,n,GTY,17449940_17451620,apples
*FAN,apples,s,n,GTY,17455650_17456880,apples
*FAN,apples,s,n,GTY,17461520_17462770,apples
*CHN,apples,s,n,GTY,17467830_17469160,apples
*CHN,apples,s,n,GTY,17473840_17474840,apples
*FAN,apples,s,n,GTY,17478940_17480840,apples
*CHN,apples,s,n,GTY,17485600_17486860,apples
*CHN,apples,s,n,GTY,17492000_17492680,apples
*FAN,apples,s,n,GTY,17428500_17432460,apples
*OLN,apples,s,n,GTY,17444970_17445790,apples
*OLN,arm,d,y,MOT,2177710_2179670,arm
*MAN,B,r,y,GRP,18521930_18522990,B
*MAN,B,d,y,GRP,18621240_18622680,B
*FAN,baba,d,y,GRP,14576980_14579970,babas
*MAN,baba,d,y,GRP,13878820_13881100,babas
*OLN,babas,q,y,GRP,14325540_14327180,babas
*MAN,babas,q,y,GRP,14329070_14330090,babas
*SIL,babies,d,n,MOT,474600_476620,baby
*CHN,babies,d,n,GRM,14908370_14909730,baby
*FAN,baby,d,n,GRM,4142940_4144730,baby
*FAN,baby,d,n,GRM,4499370_4500870,baby
*FAN,baby,d,n,GRM,4501680_4502880,baby
*FAN,baby,d,n,GRM,13126420_13127420,baby
*OLN,baby,d,y,MOT,13474720_13476190,baby
*CXN,baby,s,n,GRM,14862700_14863960,baby
*OLN,baby,d,y,GRM,14893990_14894790,baby
*MAN,baby,d,y,GRM,15776240_15777280,baby
*FAN,baby,q,y,GRM,18436350_18437370,baby
*FAN,baby,d,y,GRM,19318200_19319220,baby
*CXF,baby,u,n,GRM,32791920_32793330,baby
*OLF,baby,u,n,GRM,32793330_32794740,baby
*FAN,baby+food,d,n,MOT,4988770_4990060,baby+food
*CXN,baby+pack,d,y,MOT,13234480_13235820,NA
*FAN,back,s,n,GTY,17964450_17970110,back
*FAN,back,s,n,GTY,17986490_17991900,back
*OLN,backside,s,n,GTY,17203090_17222590,backside
*OLN,backside,s,n,GTY,17203090_17222590,backside
*OLN,backside,s,n,GTY,17203090_17222590,backside
*FAN,backside,s,n,GTY,17222590_17224900,backside
*CXN,bageltons,i,y,MOT,4716920_4719180,NA
*FAN,bag,r,y,MOT,2031940_2034990,bags
*SIL,bag,s,n,TOY,33021420_33027800,bags
*FAN,bag,r,y,MOT,2025160_2026460,bags
*FAN,bags,r,y,MOT,2056090_2057270,bags
*SIL,bags,s,n,TOY,33033930_33042610,bags
*SIL,bags,s,n,TOY,33051260_33057150,bags
*SIL,bags,s,n,TOY,33051260_33057150,bags
*TVF,bags,s,n,GRP,33057150_33058400,bags
*SIL,bags,s,n,TOY,33063550_33071040,bags
*SIL,bags,s,n,TOY,33072050_33084610,bags
*OLN,book+bags,q,n,MOT,1623480_1627750,bags
*FAN,banana,q,y,MOT,4764550_4765730,bananas
*MAN,banana,n,y,GRP,4796210_4797250,bananas
*FAF,banana,q,y,GRP,4802370_4803650,bananas
*FAN,banana,n,y,GRP,4921220_4924020,bananas
*FAN,banana,n,y,MOT,4921220_4924020,bananas
*FAN,banana,d,y,MOT,5016710_5017840,bananas
*SIL,banana,n,y,GRP,5175300_5179630,bananas
*MAN,banana,n,y,GRP,5443720_5445320,bananas
*OLN,bananas,d,y,MOT,4993870_4994720,bananas
*FAN,bananas,d,y,MOT,5020930_5022480,bananas
*MAF,bananas,q,y,GRP,5053120_5054120,bananas
*FAN,bananas,s,n,GTY,17413780_17415410,bananas
*FAN,bananas,s,n,GTY,17419780_17421330,bananas
*FAN,bananas,s,n,GTY,17425580_17427320,bananas
*OLN,bananas,s,n,GTY,17432460_17433920,bananas
*CHN,bananas,s,n,GTY,17437470_17439060,bananas
*FAN,bananas,s,n,GTY,17443040_17444970,bananas
*CHN,bananas,s,n,GTY,17449940_17451620,bananas
*FAN,bananas,s,n,GTY,17455650_17456880,bananas
*FAN,bananas,s,n,GTY,17461520_17462770,bananas
*CHN,bananas,s,n,GTY,17467830_17469160,bananas
*CHN,bananas,s,n,GTY,17473840_17474840,bananas
