tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,air+foil,d,n,FAT,20797500_20803590,air+foil
*OLN,anchovies,n,n,ADF,42295250_42303170,anchovies
*OLN,anchovies,n,n,ADF,42281810_42285420,anchovies
*CXN,animal,q,n,TOY,28417620_28418750,NA
*OLN,animal,q,n,TOY,28517550_28519110,NA
*OLN,animal,q,n,TOY,28930800_28932000,NA
*OLN,animal,q,n,TOY,28989790_28990590,NA
*OLN,animals,s,n,TOY,28290040_28295680,NA
*CXN,animals,s,n,TOY,28869450_28870330,NA
*TVN,animals,s,n,TOY,29165070_29166220,NA
*OLF,ants,s,n,TVN,19993540_19996980,ant
*TVN,ants,s,n,TVN,19998000_20002830,ant
*TVN,ants,s,n,TVN,20020430_20021310,ant
*TVN,ants,s,n,TVN,20034860_20038340,ant
*TVN,ants,s,n,TVN,20039340_20044280,ant
*OLF,ants,s,n,TVN,20059090_20062140,ant
*TVF,ants,s,n,TVN,20063340_20066190,ant
*TVN,ants,s,n,TVN,20079080_20080390,ant
*TVF,ants,s,n,TVN,20081410_20083690,ant
*TVF,ants,s,n,TVN,20086620_20088240,ant
*NOF,ants,s,n,TVN,20100810_20101660,ant
*TVN,ants,s,n,TVN,20104550_20107190,ant
*OLF,ants,s,n,TVN,20108590_20111020,ant
*TVN,ants,s,n,TVN,20124320_20125140,ant
*TVN,ants,s,n,TVN,20125140_20129220,ant
*TVN,ants,s,n,TVN,20130770_20132380,ant
*TVN,ants,s,n,TVN,20144900_20146540,ant
*TVN,ants,s,n,TVN,20149450_20150500,ant
*TVN,ants,s,n,TVN,20153740_20154740,ant
*OLF,ants,s,n,TVN,20164820_20168520,ant
*TVF,ants,s,n,TVN,20170890_20171890,ant
*TVN,ants,s,n,TVN,20175410_20176780,ant
*TVN,ants,s,n,TVN,20189490_20190810,ant
*TVN,ants,s,n,TVN,20192620_20193920,ant
*CXF,ants,s,n,TVN,20197320_20198120,ant
*MAN,applesauce,d,n,FAT,3486830_3488900,applesauce
*MAN,applesauce,n,n,FAT,4525290_4527490,applesauce
*OLN,apricots,n,n,FAT,11965000_11972940,apricot
*OLN,apricots,d,n,MOT,11965000_11972940,apricot
*MAN,arm,d,n,FAT,29387380_29391020,arm
*FAN,arrows,r,y,MOT,16926660_16927660,arrow
*FAN,atmosphere,d,n,FAT,21774410_21775410,NA
*OLN,ATV,d,n,MOT,27940010_27944870,ATV
*OLF,ATV,d,n,FAT,27936860_27937660,ATV
*FAN,babies,d,n,FAT,16351780_16352780,baby
*FAF,babies,d,n,ADF,42461190_42462200,baby
*MAN,baby,q,n,FAT,19341410_19342490,baby
*NOF,baby,q,n,MOT,19534800_19536370,baby
*MAN,baby,q,y,FAT,29288410_29293110,baby
*FAN,baby,d,y,AUN,41439420_41440920,baby
*FAN,baby,n,n,AUN,41891600_41892600,baby
*OLN,baby,q,n,FAT,42716710_42718740,baby
*MAN,baby+book,d,n,FAT,14072430_14074130,baby
*OLN,baby+crack,n,y,MOT,41306200_41307500,NA
*MAN,baby+food,d,n,MOT,5329560_5330570,baby+food
*FAN,baby+food,q,n,FAT,5336200_5337200,baby+food
*OLN,backyard,d,n,AUN,42875530_42877870,NA
*MAN,bacon,q,n,GRP,1139090_1140870,bacon
*OLN,bacon,d,n,MOT,4265310_4266880,bacon
*MAN,bacon,d,n,FAT,4276580_4277820,bacon
*MAN,bag,d,n,FAT,41386250_41390690,bag
*FAN,bag,q,n,MOT,12005370_12007080,bag
*MAN,bag,d,n,FAT,15713880_15727860,bag
*MAN,bag,d,n,FAT,27708230_27709440,bag
*FAN,bags,d,n,FAT,12011750_12012930,bag
*OLN,ball,q,y,MOT,4412810_4413630,ball
*FAN,ball,d,y,FAT,16496190_16497410,ball
*OLN,ball,q,y,MOT,16526800_16527960,ball
*MAN,ball,d,y,FAT,16595540_16596540,ball
*FAN,ball,q,y,MOT,38674350_38675350,ball
*NOF,ball,q,y,MOT,38677390_38678470,ball
*FAN,ball,d,y,MOT,38678470_38681400,ball
*FAN,ball,d,y,MOT,38691020_38692330,ball
*FAN,ball,q,y,MOT,38696210_38697660,ball
*FAN,ball,d,y,MOT,38698260_38699280,ball
*FAN,ball,q,y,MOT,38702990_38703990,ball
*FAN,ball,q,y,MOT,38707180_38707900,ball
*FAN,ball,d,y,MOT,38710330_38711330,ball
*CXN,ball,i,y,MOT,38717450_38718450,ball
*FAN,ball,q,y,MOT,38721480_38722520,ball
*FAN,ball,d,y,MOT,38723880_38728350,ball
*FAN,ball,i,y,MOT,38788580_38789690,ball
*SIL,ball,n,y,MOT,38791300_38792570,ball
*SIL,ball,n,y,MOT,38794790_38795720,ball
*NOF,ball,n,y,MOT,38805280_38806080,ball
*OLN,ball,n,y,MOT,42845380_42847940,ball
*FAN,ball,q,y,MOT,42858260_42858900,ball
*OLN,ball,d,y,MOT,43313840_43316740,ball
*MAN,ball,q,y,MOT,43325230_43326330,ball
*OLN,balls,i,n,AUN,41669670_41672460,ball
*FAN,banana,n,y,MOT,32789780_32790820,banana
*TVN,banjo,s,n,TVN,22453190_22455190,banjo
*OLF,banjo,s,n,TVN,22468770_22469610,banjo
*OLN,bar+rail,d,n,FAT,21207920_21208720,NA
*MAN,Barnyard+Dance,r,y,FAT,16205850_16206850,Barnyard+Dance
*MAN,barstool,d,n,FAT,20974280_20975980,barstool
*OLN,barstool,d,n,MOT,21150820_21151720,barstool
*MAN,barstools,d,n,FAT,41503680_41508530,barstool
*FAN,barstools,d,n,MOT,20984520_20987260,barstool
*MAN,barstools,d,n,FAT,21127570_21128660,barstool
*MAN,barstools,d,n,FAT,21144110_21145640,barstool
*MAN,base,d,n,FAT,29150470_29151500,NA
*OLN,basket,d,n,MOT,22259780_22263050,basket
*MAN,batteries,d,n,FAT,15139770_15141050,battery
*OLN,beans,d,n,FAT,3328430_3329230,beans
*MAN,beans,d,n,FAT,4110710_4112930,beans
*NOF,beans,q,n,MOT,4112930_4113740,beans
*MAF,beans,d,n,MOT,4115240_4116260,beans
*FAN,beans,d,n,MOT,4813680_4815250,beans
*MAN,beans,d,n,MOT,5117420_5118510,beans
*MAN,beans,d,n,FAT,12012930_12019310,beans
*OLF,beans,q,n,FAT,12025360_12027040,beans
*OLF,beans,q,n,FAT,12284870_12286590,beans
*OLN,beans,d,n,MOT,12499930_12501470,beans
*FAN,beans,d,y,MOT,12534150_12535420,beans
*FAN,beans,q,n,MOT,25619140_25620240,beans
*OLF,beans,q,y,MOT,25628020_25628930,beans
*MAN,beans,d,n,MOT,25673310_25674620,beans
*FAN,beans,q,y,MOT,25752890_25755090,beans
*NOF,beans,d,n,FAT,25757320_25758140,beans
*FAN,bear,d,n,MOT,40300230_40301970,bear
*FAN,bed,s,n,MFV,21450990_21453610,bed
*FAN,bed,s,n,MTV,21464940_21468240,bed
*OLN,bed,s,n,MTV,21413210_21414520,bed
*OLF,bed,s,n,MTV,21424270_21425420,bed
*OLN,bed,s,n,MTV,21427220_21428180,bed
*OLF,bed,s,n,MFV,21439090_21439920,bed
*FAN,bed,s,n,MFV,21442240_21443710,bed
*OLN,bed,s,n,MFV,21456480_21457350,bed
*CHN,bed,s,n,MTV,21481210_21482910,bed
*CXN,bed,s,n,MTV,21486080_21487480,bed
*OLN,bed,s,n,MFV,21496120_21497530,bed
*MAN,bee,d,y,FAT,27445410_27446520,bee
*MAN,bee,d,y,FAT,27445410_27446520,bee
*FAN,bee,r,y,MOT,33227400_33229130,bee
*MAN,beef,q,n,FAT,4010340_4011370,beef
*FAN,bees,r,y,MOT,17242850_17244320,bee
*FAN,bell,q,y,MOT,12425110_12426170,bell
*FAN,belly,n,y,MOT,136480_137480,belly
*NOF,belly,d,y,MOT,144830_145630,belly
*OLN,belly,d,y,MOT,3602970_3605320,belly
*OLN,belly,d,y,MOT,3602970_3605320,belly
*FAN,belly,d,y,MOT,3606410_3607950,belly
*OLN,belly,n,y,MOT,13325210_13329750,belly
*CXN,belly,d,y,MOT,29425930_29426730,belly
*OLN,belly,d,y,MOT,29427330_29428130,belly
*FAN,belly,d,y,FAT,29456050_29457080,belly
*OLN,belly,q,y,AUN,42641940_42644520,belly
*MAN,Belly+Button+Book,d,y,FAT,16213530_16214530,Belly+Button+Book
*MAN,belt,d,y,FAT,29138220_29141340,belt
*OLN,belt,d,y,FAT,29143260_29144150,belt
