tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,antenna+eyes,i,y,MOT,26617700_26620210,eye
*FAN,arm,q,y,MOT,29068210_29069370,arm
*OLN,arm,d,y,MOT,36143910_36144730,arm
*FAN,arm,d,y,MOT,36159430_36160440,arm
*FAN,arm,q,n,MOT,26996180_26997310,arm
*FAN,arm,d,y,MOT,27079640_27080640,arm
*FAN,arm,d,y,MOT,24435500_24437410,arm
*FAN,arm,d,y,MOT,27084630_27092220,arm
*MAN,arms,d,n,MOT,6163910_6164970,arm
*FAN,arms,d,n,AD1,6355010_6358390,arm
*FAN,avocado,q,n,MOT,18147580_18148730,avocado
*FAN,babies,d,n,MOT,25241300_25243790,baby
*TVN,babies,s,n,TVN,11547640_11554270,baby
*TVN,babies,s,n,TVN,11547640_11554270,baby
*FAN,babies,d,n,MOT,25238030_25239080,baby
*FAN,baboon,q,n,MOT,34256020_34258590,baboon
*CHN,baboons,q,n,MOT,34321250_34321850,baboon
*FAN,baboons,d,n,MOT,34297950_34298960,baboon
*OLN,baboons,n,n,MOT,34326160_34331450,baboon
*OLN,baboons,q,n,MOT,34332590_34338880,baboon
*FAN,baboons,d,n,MOT,34604210_34606560,baboon
*FAN,baboons,q,n,MOT,34233990_34237190,baboon
*FAN,baboons,q,y,MOT,34575620_34577630,baboon
*FAN,baby,n,n,MOT,24993550_24994550,baby
*FAN,back,q,y,MOT,4231910_4237280,back
*TVN,back,s,n,TVN,16761990_16765290,back
*FAN,back,d,y,MOT,25591080_25594920,back
*FAN,back,d,y,MOT,25685720_25690550,back
*TVN,back,s,n,TVN,16783720_16786560,back
*FAN,backpack,d,n,MOT,5683510_5685600,backpack
*CHN,backpack,n,n,MOT,5671290_5672970,backpack
*CHN,backpack,d,n,MOT,5672970_5673610,backpack
*CHN,backpack,q,n,MOT,3995550_3995970,backpack
*MAN,backpack,q,y,FAT,4349840_4351320,backpack
*FAN,backpack,d,y,MOT,11293890_11296040,backpack
*FAN,backpack,q,y,MOT,16343210_16345600,backpack
*CHN,backpack,n,y,MOT,4008550_4009140,backpack
*FAN,backpack,q,y,MOT,5813320_5814580,backpack
*FAN,backpack,d,y,MOT,12342830_12344770,backpack
*FAN,backpack,q,n,MOT,5702800_5704540,backpack
*FAN,backpack,d,y,MOT,5798580_5799670,backpack
*FAN,backpack,q,y,MOT,5809400_5811490,backpack
*FAN,backpacks,d,n,MOT,17632780_17634720,backpack
*MAN,bag,d,y,MOT,27083830_27084630,bag
*FAN,bag,q,y,MOT,27107460_27108600,bag
*FAN,bag,d,y,MOT,27405110_27406270,bag
*FAN,bag,d,n,MOT,6022810_6024020,bag
*FAN,bag,q,y,MOT,26971180_26972180,bag
*FAN,bag,d,n,MOT,27310780_27311780,bag
*CHN,bag,d,y,BRO,27081780_27082780,bag
*TVN,bags,s,n,TVN,16879410_16880410,bag
*TVN,bags,s,n,TVN,16902660_16906750,bag
*TVF,bags,s,n,TVN,36471720_36472930,bag
*OLF,bags,s,n,TVN,36494900_36496930,bag
*FAN,bald+eagles,d,n,MOT,26081590_26082840,eagle
*MAN,band+aid,d,y,FAT,2478670_2479820,band+aid
*OLF,band+aid,d,n,FAT,2307140_2308300,band+aid
*MAN,band+aid,d,y,FAT,2407580_2409450,band+aid
*MAN,band+aid,d,y,FAT,2423210_2424390,band+aid
*CHN,band+aid,d,y,BRO,2470770_2473820,band+aid
*MAN,beak,q,y,MOT,13945100_13946540,beak
*FAN,beak,d,y,MOT,13948810_13951410,beak
*TVN,bear,s,n,TVN,16982870_16991930,bear
*TVN,bear,s,n,TVN,16992930_17012370,bear
*CHN,bear,s,n,TVN,17012370_17012980,bear
*TVN,bear,s,n,TVN,16992930_17012370,bear
*OLN,bed,s,n,TVN,36979540_36997090,bed
*TVN,bed,s,n,TVN,17080830_17113140,bed
*TVN,bed,s,n,TVN,17080830_17113140,bed
*TVN,bed,s,n,TVN,17113740_17117630,bed
*TVN,bed,s,n,TVN,17150810_17161930,bed
*TVN,bed,s,n,TVN,17118500_17135630,bed
*TVN,bed,s,n,TVN,17080830_17113140,bed
*TVN,bed,s,n,TVN,17080830_17113140,bed
*TVN,bed,s,n,TVN,17118500_17135630,bed
*TVN,bed,s,n,TVN,17136230_17149760,bed
*TVN,bed,s,n,TVN,17136230_17149760,bed
*FAN,bees,r,y,MOT,25476560_25478260,bee
*FAN,belly,d,y,MOT,25654230_25663690,belly
*FAN,belly,d,n,MOT,25685720_25690550,belly
*OLN,belly,d,y,MOT,16289130_16290450,belly
*FAN,belly,d,y,MOT,25649220_25650600,belly
*FAN,belly,n,n,MOT,25691550_25695030,belly
*FAN,belly,d,y,MOT,26535320_26537630,belly
*FAN,belly,d,n,MOT,25685720_25690550,belly
*OLN,bird,n,n,TOY,27519680_27520480,bird
*CHN,bird,n,n,TOY,27552780_27553820,bird
*OLN,bird,n,n,TOY,17684530_17687830,bird
*OLN,bird,n,n,TOY,27476600_27477810,bird
*FAN,bird,n,n,TOY,11427500_11432700,bird
*TVN,bird,n,n,TOY,11802490_11834500,bird
*TVN,bird,n,n,TOY,12257010_12311170,bird
*OLN,bird,n,n,TOY,12337330_12338250,bird
*TVN,bird,n,n,TOY,13043300_13067980,bird
*TVN,bird,n,n,TOY,13081970_13093660,bird
*TVN,bird,n,n,TOY,16730610_16733570,bird
*CXN,bird,n,n,TOY,17589720_17590340,bird
*OLN,bird,n,n,TOY,17611630_17612590,bird
*OLN,bird,n,n,TOY,17658320_17666680,bird
*TVN,bird,n,n,TOY,13159890_13162750,bird
*TVN,bird,n,n,TOY,11606830_11607770,bird
*OLN,bird,n,n,TOY,27971900_27977520,bird
*NON,bird,n,n,TOY,18128770_18130060,bird
*TVN,birds,q,y,MOT,25498250_25499970,bird
*CHN,birds,q,n,MOT,26073730_26074730,bird
*FAN,blanket,q,y,MOT,24752030_24754500,blanket
*FAN,blanket,d,y,MOT,24503420_24504540,blanket
*FAF,blanket,d,y,MOT,24513410_24515640,blanket
*OLN,blanket,d,y,MOT,28873300_28879070,blanket
*FAN,boa,d,y,MOT,32576810_32579160,boa
*FAN,boa+constricter,d,y,MOT,32550980_32552010,boa
*FAN,boat,q,n,MOT,26236740_26238510,boat
*FAN,boat,s,n,MOT,26248080_26251250,boat
*MAN,body,d,n,FAT,2493120_2494200,NA
*MAN,boo+boo,d,n,FAT,2463800_2464800,NA
*FAN,book,q,y,MOT,28182000_28183140,book
*FAN,book,q,n,MOT,25204150_25207370,book
*CHN,book,i,y,BRO,26735930_26736750,book
*MAN,book,q,n,MOT,4624960_4625990,book
*FAN,book,q,n,MOT,33894220_33896960,book
*FAN,book,d,y,MOT,36126680_36127680,book
*NOF,book,d,n,MOT,26711000_26711800,book
*OLN,book,d,y,BRO,26722760_26725320,book
*FAN,book,q,y,MOT,18406530_18408520,book
*FAN,book,q,n,MOT,25317810_25319640,book
*FAN,book,d,n,BRO,26719730_26720750,book
*CXN,book,i,n,MOT,34430650_34432260,book
*OLN,book+bag,n,y,MOT,27528980_27533030,bag
*NOF,books,q,n,MOT,24885460_24887620,book
*FAN,books,d,n,MOT,18524450_18527760,book
*OLN,books,d,y,MOT,3941670_3944730,book
*OLN,books,d,y,MOT,3986960_3988570,book
*FAN,books,d,y,MOT,15753560_15755180,book
*CHN,books,d,y,MOT,3928970_3929260,book
*FAN,books,q,y,MOT,3962200_3964200,book
*FAN,books,d,n,MOT,24882710_24885460,book
*FAN,books,q,n,MOT,24755650_24757250,book
*FAN,books,d,y,MOT,25263540_25266460,book
*FAN,books,n,y,MOT,4030850_4031950,book
*FAN,books,d,n,MOT,25254670_25256230,book
*MAN,books,d,y,MOT,4031950_4033030,book
*FAN,books,d,n,MOT,25051550_25053380,book
*FAN,bottle,d,y,MOT,36258390_36259390,bottle
*FAN,bottle,q,y,MOT,14169010_14171250,bottle
*FAN,bottle,d,y,MOT,14283630_14285250,bottle
*TVN,bottle,q,y,MOT,13113400_13123490,bottle
*FAN,bottle,d,y,MOT,5316110_5317110,bottle
*TVN,bow,s,n,TVN,11607770_11608770,bow
*FAN,box,d,n,MOT,4220290_4222480,box
*OLF,bread,d,y,FAT,1095050_1096320,bread
*FAN,bread,d,n,MOT,27296940_27298980,bread
*FAN,broccoli,q,y,MOT,18373080_18374570,broccoli
*OLN,broccoli,q,y,MOT,18375190_18379450,broccoli
*OLN,broccoli,d,y,MOT,26654600_26656130,broccoli
*MAN,broccoli,n,y,MOT,26658540_26660350,broccoli
*FAN,broccoli,q,y,MOT,26661950_26662960,broccoli
*CHN,broccoli,d,y,BRO,828260_828870,broccoli
*OLN,bubble,d,n,BRO,5638410_5641860,bubble
*FAN,bubble,d,n,MOT,25591080_25594920,bubble
*FAN,bubbles,d,y,MOT,26272830_26274800,bubble
*MAN,bubbles,d,y,FAT,3608260_3609420,bubble
*MAN,bubbles,d,n,MOT,5588960_5590290,bubble
*FAN,buckle,q,n,MOT,6194160_6195710,buckle
*FAN,bud,d,y,MOT,25445440_25446440,bud
*FAN,bug,r,y,MOT,25453350_25454350,bug
*FAN,bunny+rabbit,n,y,MOT,25874680_25875710,rabbit
*CXF,bunny+rabbit,d,y,MOT,13972510_13973390,rabbit
*CHN,bunny+rabbits,q,n,MOT,31810530_31811160,rabbit
*OLN,burger,d,n,MOT,16320000_16321240,burger
*FAN,burger,d,y,MOT,26397040_26399260,burger
