tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,Albuquerque,s,n,MOT,34373560_34374560,Albuquerque+Turkey
*FAN,Albuquerque,s,n,MOT,34392380_34393010,Albuquerque+Turkey
*OLN,Albuquerque,s,n,MOT,34463350_34464260,Albuquerque+Turkey
*FAN,Albuquerque,s,n,MOT,34873550_34876330,Albuquerque+Turkey
*FAN,Albuquerque,s,n,MOT,35060000_35060640,Albuquerque+Turkey
*FAN,Albuquerque,s,n,MOT,35247260_35248260,Albuquerque+Turkey
*CXN,Albuquerque+Turkey,d,y,SIS,34324370_34325740,Albuquerque+Turkey
*FAN,Albuquerque+Turkey,d,y,MOT,34325740_34328100,Albuquerque+Turkey
*FAN,Albuquerque+Turkey,n,y,MOT,34352680_34353860,Albuquerque+Turkey
*OLN,Albuquerque+Turkey,s,n,SIS,34353860_34355120,Albuquerque+Turkey
*CXN,Albuquerque+Turkey,s,n,SIS,34355120_34356960,Albuquerque+Turkey
*FAN,Albuquerque+Turkey,s,n,SIS,34356960_34358610,Albuquerque+Turkey
*CHN,Albuquerque+Turkey,s,n,MOT,34424670_34425670,Albuquerque+Turkey
*FAN,Albuquerque+Turkey,s,n,MOT,34496120_34497120,Albuquerque+Turkey
*OLN,Allen+wrench,q,y,MOT,20627610_20631100,wrench
*FAN,Allen+wrench,d,y,MOT,20631100_20632510,wrench
*FAN,animals,s,n,MOT,258760_261410,NA
*CXN,animals,s,n,MOT,262220_263630,NA
*FAF,animals,s,n,MOT,264540_265550,NA
*FAN,animals,s,n,MOT,267550_268660,NA
*CHN,apple+pie,s,n,MOT,34456400_34457500,pie
*CHN,applesauce,q,n,AFF,21171250_21171770,applesauce
*FAN,applesauce,q,n,AFF,21176690_21179930,applesauce
*FAN,applesauce,q,y,MOT,23791500_23794070,applesauce
*FAN,arm,d,y,MOT,407120_409370,arm
*FAN,avocado,q,y,MOT,15561150_15562990,avocado
*FAN,avocado,n,y,MOT,16355630_16358510,avocado
*MAN,babies,d,y,ADF,5224750_5225750,baby
*OLN,babies,d,y,AD2,8346340_8350580,baby
*OLN,baby,d,y,ADF,4720560_4723060,baby
*MAN,baby,d,n,MOT,15525860_15526890,baby
*FAN,baby,d,n,MOT,17030840_17033140,baby
